,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome
0,58,management,married,tertiary,no,2143,yes,no,secondary,261,1,-1,0,failure
1,44,technician,single,secondary,no,29,yes,no,secondary,151,1,-1,0,failure
2,33,entrepreneur,married,secondary,no,2,yes,yes,secondary,76,1,-1,0,failure
3,47,blue-collar,married,secondary,no,1506,yes,no,secondary,92,1,-1,0,failure
4,33,blue-collar,single,secondary,no,1,no,no,secondary,198,1,-1,0,failure
5,35,management,married,tertiary,no,231,yes,no,secondary,139,1,-1,0,failure
6,28,management,single,tertiary,no,447,yes,yes,secondary,217,1,-1,0,failure
7,42,entrepreneur,divorced,tertiary,yes,2,yes,no,secondary,380,1,-1,0,failure
8,58,retired,married,primary,no,121,yes,no,secondary,50,1,-1,0,failure
9,43,technician,single,secondary,no,593,yes,no,secondary,55,1,-1,0,failure
10,41,admin.,divorced,secondary,no,270,yes,no,secondary,222,1,-1,0,failure
11,29,admin.,single,secondary,no,390,yes,no,secondary,137,1,-1,0,failure
12,53,technician,married,secondary,no,6,yes,no,secondary,517,1,-1,0,failure
13,58,technician,married,secondary,no,71,yes,no,secondary,71,1,-1,0,failure
14,57,services,married,secondary,no,162,yes,no,secondary,174,1,-1,0,failure
15,51,retired,married,primary,no,229,yes,no,secondary,353,1,-1,0,failure
16,45,admin.,single,secondary,no,13,yes,no,secondary,98,1,-1,0,failure
17,57,blue-collar,married,primary,no,52,yes,no,secondary,38,1,-1,0,failure
18,60,retired,married,primary,no,60,yes,no,secondary,219,1,-1,0,failure
19,33,services,married,secondary,no,0,yes,no,secondary,54,1,-1,0,failure
20,28,blue-collar,married,secondary,no,723,yes,yes,secondary,262,1,-1,0,failure
21,56,management,married,tertiary,no,779,yes,no,secondary,164,1,-1,0,failure
22,32,blue-collar,single,primary,no,23,yes,yes,secondary,160,1,-1,0,failure
23,25,services,married,secondary,no,50,yes,no,secondary,342,1,-1,0,failure
24,40,retired,married,primary,no,0,yes,yes,secondary,181,1,-1,0,failure
25,44,admin.,married,secondary,no,-372,yes,no,secondary,172,1,-1,0,failure
26,39,management,single,tertiary,no,255,yes,no,secondary,296,1,-1,0,failure
27,52,entrepreneur,married,secondary,no,113,yes,yes,secondary,127,1,-1,0,failure
28,46,management,single,secondary,no,-246,yes,no,secondary,255,2,-1,0,failure
29,36,technician,single,secondary,no,265,yes,yes,secondary,348,1,-1,0,failure
30,57,technician,married,secondary,no,839,no,yes,secondary,225,1,-1,0,failure
31,49,management,married,tertiary,no,378,yes,no,secondary,230,1,-1,0,failure
32,60,admin.,married,secondary,no,39,yes,yes,secondary,208,1,-1,0,failure
33,59,blue-collar,married,secondary,no,0,yes,no,secondary,226,1,-1,0,failure
34,51,management,married,tertiary,no,10635,yes,no,secondary,336,1,-1,0,failure
35,57,technician,divorced,secondary,no,63,yes,no,secondary,242,1,-1,0,failure
36,25,blue-collar,married,secondary,no,-7,yes,no,secondary,365,1,-1,0,failure
37,53,technician,married,secondary,no,-3,no,no,secondary,1666,1,-1,0,failure
38,36,admin.,divorced,secondary,no,506,yes,no,secondary,577,1,-1,0,failure
39,37,admin.,single,secondary,no,0,yes,no,secondary,137,1,-1,0,failure
40,44,services,divorced,secondary,no,2586,yes,no,secondary,160,1,-1,0,failure
41,50,management,married,secondary,no,49,yes,no,secondary,180,2,-1,0,failure
42,60,blue-collar,married,secondary,no,104,yes,no,secondary,22,1,-1,0,failure
43,54,retired,married,secondary,no,529,yes,no,secondary,1492,1,-1,0,failure
44,58,retired,married,secondary,no,96,yes,no,secondary,616,1,-1,0,failure
45,36,admin.,single,primary,no,-171,yes,no,secondary,242,1,-1,0,failure
46,58,self-employed,married,tertiary,no,-364,yes,no,secondary,355,1,-1,0,failure
47,44,technician,married,secondary,no,0,yes,no,secondary,225,2,-1,0,failure
48,55,technician,divorced,secondary,no,0,no,no,secondary,160,1,-1,0,failure
49,29,management,single,tertiary,no,0,yes,no,secondary,363,1,-1,0,failure
50,54,blue-collar,married,secondary,no,1291,yes,no,secondary,266,1,-1,0,failure
51,48,management,divorced,tertiary,no,-244,yes,no,secondary,253,1,-1,0,failure
52,32,management,married,tertiary,no,0,yes,no,secondary,179,1,-1,0,failure
53,42,admin.,single,secondary,no,-76,yes,no,secondary,787,1,-1,0,failure
54,24,technician,single,secondary,no,-103,yes,yes,secondary,145,1,-1,0,failure
55,38,entrepreneur,single,tertiary,no,243,no,yes,secondary,174,1,-1,0,failure
56,38,management,single,tertiary,no,424,yes,no,secondary,104,1,-1,0,failure
57,47,blue-collar,married,secondary,no,306,yes,no,secondary,13,1,-1,0,failure
58,40,blue-collar,single,secondary,no,24,yes,no,secondary,185,1,-1,0,failure
59,46,services,married,primary,no,179,yes,no,secondary,1778,1,-1,0,failure
60,32,admin.,married,tertiary,no,0,yes,no,secondary,138,1,-1,0,failure
61,53,technician,divorced,secondary,no,989,yes,no,secondary,812,1,-1,0,failure
62,57,blue-collar,married,primary,no,249,yes,no,secondary,164,1,-1,0,failure
63,33,services,married,secondary,no,790,yes,no,secondary,391,1,-1,0,failure
64,49,blue-collar,married,secondary,no,154,yes,no,secondary,357,1,-1,0,failure
65,51,management,married,tertiary,no,6530,yes,no,secondary,91,1,-1,0,failure
66,60,retired,married,tertiary,no,100,no,no,secondary,528,1,-1,0,failure
67,59,management,divorced,tertiary,no,59,yes,no,secondary,273,1,-1,0,failure
68,55,technician,married,secondary,no,1205,yes,no,secondary,158,2,-1,0,failure
69,35,blue-collar,single,secondary,no,12223,yes,yes,secondary,177,1,-1,0,failure
70,57,blue-collar,married,secondary,no,5935,yes,yes,secondary,258,1,-1,0,failure
71,31,services,married,secondary,no,25,yes,yes,secondary,172,1,-1,0,failure
72,54,management,married,secondary,no,282,yes,yes,secondary,154,1,-1,0,failure
73,55,blue-collar,married,primary,no,23,yes,no,secondary,291,1,-1,0,failure
74,43,technician,married,secondary,no,1937,yes,no,secondary,181,1,-1,0,failure
75,53,technician,married,secondary,no,384,yes,no,secondary,176,1,-1,0,failure
76,44,blue-collar,married,secondary,no,582,no,yes,secondary,211,1,-1,0,failure
77,55,services,divorced,secondary,no,91,no,no,secondary,349,1,-1,0,failure
78,49,services,divorced,secondary,no,0,yes,yes,secondary,272,1,-1,0,failure
79,55,services,divorced,secondary,yes,1,yes,no,secondary,208,1,-1,0,failure
80,45,admin.,single,secondary,no,206,yes,no,secondary,193,1,-1,0,failure
81,47,services,divorced,secondary,no,164,no,no,secondary,212,1,-1,0,failure
82,42,technician,single,secondary,no,690,yes,no,secondary,20,1,-1,0,failure
83,59,admin.,married,secondary,no,2343,yes,no,secondary,1042,1,-1,0,failure
84,46,self-employed,married,tertiary,no,137,yes,yes,secondary,246,1,-1,0,failure
85,51,blue-collar,married,primary,no,173,yes,no,secondary,529,2,-1,0,failure
86,56,admin.,married,secondary,no,45,no,no,secondary,1467,1,-1,0,failure
87,41,technician,married,secondary,no,1270,yes,no,secondary,1389,1,-1,0,failure
88,46,management,divorced,secondary,no,16,yes,yes,secondary,188,2,-1,0,failure
89,57,retired,married,secondary,no,486,yes,no,secondary,180,2,-1,0,failure
90,42,management,single,secondary,no,50,no,no,secondary,48,1,-1,0,failure
91,30,technician,married,secondary,no,152,yes,yes,secondary,213,2,-1,0,failure
92,60,admin.,married,secondary,no,290,yes,no,secondary,583,1,-1,0,failure
93,60,blue-collar,married,secondary,no,54,yes,no,secondary,221,1,-1,0,failure
94,57,entrepreneur,divorced,secondary,no,-37,no,no,secondary,173,1,-1,0,failure
95,36,management,married,tertiary,no,101,yes,yes,secondary,426,1,-1,0,failure
96,55,blue-collar,married,secondary,no,383,no,no,secondary,287,1,-1,0,failure
97,60,retired,married,tertiary,no,81,yes,no,secondary,101,1,-1,0,failure
98,39,technician,married,secondary,no,0,yes,no,secondary,203,1,-1,0,failure
99,46,management,married,tertiary,no,229,yes,no,secondary,197,1,-1,0,failure
100,44,blue-collar,married,secondary,no,-674,yes,no,secondary,257,1,-1,0,failure
101,53,blue-collar,married,primary,no,90,no,no,secondary,124,1,-1,0,failure
102,52,blue-collar,married,primary,no,128,yes,no,secondary,229,1,-1,0,failure
103,59,blue-collar,married,primary,no,179,yes,no,secondary,55,3,-1,0,failure
104,27,technician,single,tertiary,no,0,yes,no,secondary,400,1,-1,0,failure
105,44,blue-collar,married,secondary,no,54,yes,no,secondary,197,1,-1,0,failure
106,47,technician,married,tertiary,no,151,yes,no,secondary,190,1,-1,0,failure
107,34,admin.,married,secondary,no,61,no,yes,secondary,21,1,-1,0,failure
108,59,retired,single,secondary,no,30,yes,no,secondary,514,1,-1,0,failure
109,45,management,married,tertiary,no,523,yes,no,secondary,849,2,-1,0,failure
110,29,services,divorced,secondary,no,31,yes,no,secondary,194,1,-1,0,failure
111,46,technician,divorced,secondary,no,79,no,no,secondary,144,1,-1,0,failure
112,56,self-employed,married,primary,no,-34,yes,yes,secondary,212,2,-1,0,failure
113,36,blue-collar,married,primary,no,448,yes,no,secondary,286,1,-1,0,failure
114,59,retired,divorced,primary,no,81,yes,no,secondary,107,1,-1,0,failure
115,44,blue-collar,married,secondary,no,144,yes,no,secondary,247,2,-1,0,failure
116,41,admin.,married,secondary,no,351,yes,no,secondary,518,1,-1,0,failure
117,33,management,single,tertiary,no,-67,yes,no,secondary,364,1,-1,0,failure
118,59,management,divorced,tertiary,no,262,no,no,secondary,178,1,-1,0,failure
119,57,technician,married,primary,no,0,no,no,secondary,98,1,-1,0,failure
120,56,technician,divorced,secondary,no,56,yes,no,secondary,439,1,-1,0,failure
121,51,blue-collar,married,secondary,no,26,yes,no,secondary,79,1,-1,0,failure
122,34,admin.,married,secondary,no,3,yes,no,secondary,120,3,-1,0,failure
123,43,services,married,secondary,no,41,yes,yes,secondary,127,2,-1,0,failure
124,52,technician,married,tertiary,no,7,no,yes,secondary,175,1,-1,0,failure
125,33,technician,single,secondary,no,105,yes,no,secondary,262,2,-1,0,failure
126,29,admin.,single,secondary,no,818,yes,yes,secondary,61,1,-1,0,failure
127,34,services,married,secondary,no,-16,yes,yes,secondary,78,1,-1,0,failure
128,31,blue-collar,married,secondary,no,0,yes,no,secondary,143,1,-1,0,failure
129,55,services,married,secondary,no,2476,yes,no,secondary,579,1,-1,0,failure
130,55,management,married,secondary,no,1185,no,no,secondary,677,1,-1,0,failure
131,32,admin.,single,secondary,no,217,yes,no,secondary,345,1,-1,0,failure
132,38,technician,single,secondary,no,1685,yes,no,secondary,185,1,-1,0,failure
133,55,admin.,single,secondary,no,802,yes,yes,secondary,100,2,-1,0,failure
134,28,unemployed,single,tertiary,no,0,yes,no,secondary,125,2,-1,0,failure
135,23,blue-collar,married,secondary,no,94,yes,no,secondary,193,1,-1,0,failure
136,32,technician,single,secondary,no,0,yes,no,secondary,136,1,-1,0,failure
137,43,services,single,secondary,no,0,no,no,secondary,73,1,-1,0,failure
138,32,blue-collar,married,secondary,no,517,yes,no,secondary,528,1,-1,0,failure
139,46,blue-collar,married,secondary,no,265,yes,no,secondary,541,1,-1,0,failure
140,53,housemaid,divorced,primary,no,947,yes,no,secondary,163,1,-1,0,failure
141,34,self-employed,single,secondary,no,3,yes,no,secondary,301,1,-1,0,failure
142,57,unemployed,married,tertiary,no,42,no,no,secondary,46,1,-1,0,failure
143,37,blue-collar,married,secondary,no,37,yes,no,secondary,204,1,-1,0,failure
144,59,blue-collar,married,secondary,no,57,yes,no,secondary,98,1,-1,0,failure
145,33,services,married,secondary,no,22,yes,no,secondary,71,1,-1,0,failure
146,56,blue-collar,divorced,primary,no,8,yes,no,secondary,157,2,-1,0,failure
147,48,unemployed,married,secondary,no,293,yes,no,secondary,243,1,-1,0,failure
148,43,services,married,primary,no,3,yes,no,secondary,186,2,-1,0,failure
149,54,blue-collar,married,primary,no,348,yes,no,secondary,579,2,-1,0,failure
150,51,blue-collar,married,secondary,no,-19,yes,no,secondary,163,2,-1,0,failure
151,26,student,single,secondary,no,0,yes,no,secondary,610,2,-1,0,failure
152,40,management,married,tertiary,no,-4,yes,no,secondary,2033,1,-1,0,failure
153,39,management,married,secondary,no,18,yes,no,secondary,85,1,-1,0,failure
154,50,technician,married,primary,no,139,no,no,secondary,114,2,-1,0,failure
155,41,services,married,secondary,no,0,yes,no,secondary,114,2,-1,0,failure
156,51,blue-collar,married,secondary,no,1883,yes,no,secondary,57,1,-1,0,failure
157,60,retired,divorced,secondary,no,216,yes,no,secondary,238,1,-1,0,failure
158,52,blue-collar,married,secondary,no,782,yes,no,secondary,93,3,-1,0,failure
159,48,blue-collar,married,secondary,no,904,yes,no,secondary,128,2,-1,0,failure
160,48,services,married,secondary,no,1705,yes,no,secondary,107,1,-1,0,failure
161,39,technician,single,tertiary,no,47,yes,no,secondary,181,1,-1,0,failure
162,47,services,single,secondary,no,176,yes,no,secondary,303,2,-1,0,failure
163,40,blue-collar,married,secondary,no,1225,yes,no,secondary,558,5,-1,0,failure
164,45,technician,married,secondary,no,86,yes,no,secondary,270,1,-1,0,failure
165,26,admin.,single,secondary,no,82,yes,no,secondary,228,1,-1,0,failure
166,52,management,married,tertiary,no,271,yes,no,secondary,99,1,-1,0,failure
167,54,technician,married,secondary,no,1378,yes,no,secondary,240,1,-1,0,failure
168,54,admin.,married,tertiary,no,184,no,no,secondary,673,2,-1,0,failure
169,50,blue-collar,married,primary,no,0,no,no,secondary,233,3,-1,0,failure
170,35,blue-collar,married,secondary,no,0,yes,no,secondary,1056,1,-1,0,failure
171,44,services,married,secondary,no,1357,yes,yes,secondary,250,1,-1,0,failure
172,53,entrepreneur,married,secondary,no,19,yes,no,secondary,252,1,-1,0,failure
173,35,retired,single,primary,no,434,no,no,secondary,138,1,-1,0,failure
174,60,admin.,divorced,secondary,no,92,yes,no,secondary,130,1,-1,0,failure
175,53,admin.,divorced,secondary,no,1151,yes,no,secondary,412,1,-1,0,failure
176,48,unemployed,married,secondary,no,41,yes,no,secondary,179,2,-1,0,failure
177,34,technician,married,secondary,no,51,yes,no,secondary,19,2,-1,0,failure
178,54,services,married,secondary,no,214,yes,no,secondary,458,2,-1,0,failure
179,51,management,married,secondary,no,1161,yes,no,secondary,717,1,-1,0,failure
180,31,services,married,tertiary,no,37,yes,no,secondary,313,1,-1,0,failure
181,35,technician,divorced,secondary,no,787,yes,no,secondary,683,2,-1,0,failure
182,35,services,married,secondary,no,59,yes,no,secondary,1077,1,-1,0,failure
183,38,technician,married,secondary,no,253,yes,no,secondary,416,1,-1,0,failure
184,36,admin.,married,tertiary,no,211,yes,no,secondary,146,2,-1,0,failure
185,58,retired,married,primary,no,235,yes,no,secondary,167,1,-1,0,failure
186,40,services,divorced,secondary,no,4384,yes,no,secondary,315,1,-1,0,failure
187,54,management,married,secondary,no,4080,no,no,secondary,140,1,-1,0,failure
188,34,blue-collar,single,secondary,no,53,yes,yes,secondary,346,1,-1,0,failure
189,31,management,single,tertiary,no,0,yes,no,secondary,562,1,-1,0,failure
190,51,retired,married,secondary,no,2127,yes,no,secondary,172,1,-1,0,failure
191,33,management,married,tertiary,no,377,yes,no,secondary,217,1,-1,0,failure
192,55,management,married,tertiary,no,73,yes,no,secondary,142,2,-1,0,failure
193,42,admin.,married,secondary,no,445,yes,no,secondary,67,1,-1,0,failure
194,34,blue-collar,married,secondary,no,243,yes,no,secondary,291,1,-1,0,failure
195,33,blue-collar,single,secondary,no,307,yes,no,secondary,309,2,-1,0,failure
196,38,services,married,secondary,no,155,yes,no,secondary,248,1,-1,0,failure
197,50,technician,divorced,tertiary,no,173,no,yes,secondary,98,1,-1,0,failure
198,43,management,married,tertiary,no,400,yes,no,secondary,256,1,-1,0,failure
